statId,chgerId,statNm,addr,addrDetail,lat,lng,useTime,busiNm,chgerType,output,stat
ME184089,01,목포시종합관광안내소,전남광주통합특별시 목포시 영산로 843,,34.838259,126.422266,24시간 이용가능,기후에너지환경부,06,50,2
ME19B127,01,남교공영주차장,전남광주통합특별시 목포시 남교동 57,,34.794037,126.381034,24시간 이용가능,기후에너지환경부,04,100,3
ME19B128,01,유달산공원유료주차장,전남광주통합특별시 목포시 측후동 4,,34.789033,126.381371,24시간 이용가능,기후에너지환경부,04,100,2
ME19B129,01,비파공영주차장,전남광주통합특별시 목포시 상동 32,,34.807587,126.420418,24시간 이용가능,기후에너지환경부,04,100,2
ME19B130,01,이로시장공영주차장,전남광주통합특별시 목포시 용당동 993-2,,34.805013,126.40418,24시간 이용가능,기후에너지환경부,04,100,2
ME19B178,01,자유시장 공영주차장,전남광주통합특별시 목포시 용당로 58,,34.792651,126.40236,24시간 이용가능,기후에너지환경부,04,100,2
ME19B188,01,목포벤처문화산업지원센터주차장,전남광주통합특별시 목포시 석현동 1175,,34.815839,126.426765,24시간 이용가능,기후에너지환경부,04,100,2
ME20B225,21,서해지방해양경찰청,전남광주통합특별시 목포시 남악로162번길25,,34.803982584,126.45768471,24시간 이용가능,기후에너지환경부,04,200,2
ME20B225,22,서해지방해양경찰청,전남광주통합특별시 목포시 남악로162번길25,,34.803982584,126.45768471,24시간 이용가능,기후에너지환경부,04,200,3
ME20B226,21,목포해양경찰서,전남광주통합특별시 목포시 청호로 231,,34.809665,126.367121,09:00 ~ 18:00,기후에너지환경부,04,200,2
ME20B226,22,목포해양경찰서,전남광주통합특별시 목포시 청호로 231,,34.809665,126.367121,09:00 ~ 18:00,기후에너지환경부,04,200,2
ME21B103,01,동명동행정복지센터,전남광주통합특별시 목포시 자유로20번길 27,,34.7906919,126.3920506,24시간 이용가능,기후에너지환경부,04,100,9
ME21B119,01,만호동행정복지센터,전남광주통합특별시 목포시 수강로12번길 24,,34.7872911,126.3871209,24시간 이용가능,기후에너지환경부,04,100,9
ME21B1E4,01,보리마당 주차장,전남광주통합특별시 목포시 해안로127번길 5,,34.7811249,126.3770869,24시간 이용가능,기후에너지환경부,04,100,9
ME21B204,01,평화광장 공영1주차장,전남광주통합특별시 목포시 옥암동 1100,,34.7991487,126.4384847,24시간 이용가능,기후에너지환경부,04,100,3
