충전소,충전기ID,충전기타입,주소,이용가능시간
국립호남권생물자원관,91,DC콤보,전라남도 목포시 고하도안길 99 ,08:00 ~ 22:00
국립호남권생물자원관,92,DC콤보,전라남도 목포시 고하도안길 99 ,08:00 ~ 22:00
남교공영주차장,1,DC콤보,전라남도 목포시 남교동 57 ,24시간 이용가능
놀부정공영주차장,1,DC차데모+AC3상+DC콤보,전라남도 목포시 백년대로297번길 16-2 (상동) 전라남도 목포시 백년대로297번길 16-2 (상동),24시간 이용가능
동명동행정복지센터,1,DC콤보,전라남도 목포시 자유로20번길 27 ,24시간 이용가능
마인계터 예술주차장,21,DC콤보,전라남도 목포시 마인계터로 33 ,24시간 이용가능
마인계터 예술주차장,22,DC콤보,전라남도 목포시 마인계터로 33 ,24시간 이용가능
만호동행정복지센터,1,DC콤보,전라남도 목포시 수강로12번길 24 ,24시간 이용가능
목포건어물젓갈센터,21,DC콤보,전라남도 목포시 수강로12번길 41 ,24시간 이용가능
목포건어물젓갈센터,22,DC콤보,전라남도 목포시 수강로12번길 41 ,24시간 이용가능
목포경찰서,1,DC콤보,전라남도 목포시 동명로 124 ,24시간 이용가능
목포벤처문화산업지원센터주차장,1,DC콤보,전라남도 목포시 석현동 1175 ,24시간 이용가능
목포시종합관광안내소,1,DC차데모+AC3상+DC콤보,전라남도 목포시 영산로 843 ,24시간 이용가능
목포시종합사회복지관,1,DC콤보,전라남도 목포시 고하대로 712 ,24시간 이용가능
목포시청 주차장,21,DC콤보,전라남도 목포시 용당동 1206-1 ,24시간 이용가능
목포시청 주차장,22,DC콤보,전라남도 목포시 용당동 1206-1 ,24시간 이용가능
목포시청 주차장,23,DC콤보,전라남도 목포시 용당동 1206-1 ,24시간 이용가능
목포시청 주차장,24,DC콤보,전라남도 목포시 용당동 1206-1 ,24시간 이용가능
목포시청 주차장,25,DC콤보,전라남도 목포시 용당동 1206-1 ,24시간 이용가능
목포시청 주차장,26,DC콤보,전라남도 목포시 용당동 1206-1 ,24시간 이용가능
목포시청 주차장,27,DC콤보,전라남도 목포시 용당동 1206-1 ,24시간 이용가능
목포시청 주차장,28,DC콤보,전라남도 목포시 용당동 1206-1 ,24시간 이용가능
목포지방해양수산청,1,DC콤보,전라남도 목포시 통일대로 130 전라남도 목포시 통일대로 130,24시간 이용가능
목포지방해양수산청,2,DC콤보,전라남도 목포시 통일대로 130 전라남도 목포시 통일대로 130,24시간 이용가능
목포해양경찰서,21,DC콤보,전라남도 목포시 청호로 231 ,09:00 ~ 18:00
목포해양경찰서,22,DC콤보,전라남도 목포시 청호로 231 ,09:00 ~ 18:00
보리마당 주차장,1,DC콤보,전라남도 목포시 해안로127번길 7 ,24시간 이용가능
부주파출소,1,DC콤보,전라남도 목포시 남악1로42번길21 전라남도 목포시 남악1로42번길21,24시간 이용가능
비파공영주차장,1,DC콤보,전라남도 목포시 상동 32 ,24시간 이용가능
서해지방해양경찰청,21,DC콤보,전라남도 목포시 남악로162번길25 ,24시간 이용가능
서해지방해양경찰청,22,DC콤보,전라남도 목포시 남악로162번길25 ,24시간 이용가능
시외버스터미널공영주차장,1,DC차데모+AC3상+DC콤보,전라남도 목포시 상동 210-13 전라남도 목포시 상동 210-13,24시간 이용가능
유달산공원유료주차장,1,DC콤보,전라남도 목포시 측후동 4 ,24시간 이용가능
이로시장공영주차장,1,DC콤보,전라남도 목포시 용당동 993-2 ,24시간 이용가능
자유시장 공영주차장,1,DC콤보,전라남도 목포시 용당로 58 ,24시간 이용가능
죽동1공영주차장,1,DC차데모+AC3상+DC콤보,전라남도 목포시 마인계터로39번길 12 (죽동) 전라남도 목포시 마인계터로39번길 12 (죽동),24시간 이용가능
평화광장 공영1주차장,1,DC콤보,전라남도 목포시 옥암동 1100 ,24시간 이용가능
평화광장 공영1주차장,2,DC콤보,전라남도 목포시 옥암동 1100 ,24시간 이용가능
21세기충전소,1,DC콤보,전라남도 목포시 삼학로 233 21세기가스,24시간 이용가능
21세기충전소,2,DC콤보,전라남도 목포시 삼학로 233 21세기가스,24시간 이용가능
국립해양유산연구소(목포),1,AC완속,전라남도 목포시 남농로 136 ,24시간 이용가능
국립해양유산연구소(목포),2,AC완속,전라남도 목포시 남농로 136 ,24시간 이용가능
국립해양유산연구소(목포),3,DC콤보,전라남도 목포시 남농로 136 ,24시간 이용가능
국립해양유산연구소(목포),4,DC콤보,전라남도 목포시 남농로 136 ,24시간 이용가능
