statId,chgerId,statNm,addr,addrDetail,lat,lng,useTime,busiNm,chgerType,stat
ME174013,01,낙성대동주민센터,서울특별시 관악구 낙성대로4가길 5,,37.476296,126.9583876,24시간 이용가능,기후에너지환경부,06,2
ME174027,01,서울추모공원,서울특별시 서초구 양재대로12길 74, 1층 입구,37.4536062,127.0428005,24시간 이용가능,기후에너지환경부,06,2
ME174039,01,태화빌딩,서울특별시 종로구 인사동5길 29, 지상주차장,37.5718148,126.9850443,24시간 이용가능,기후에너지환경부,06,2
ME178009,01,서울만남(부산) 휴게소,서울특별시 서초구 양재대로12길 73-71 (원지동),,37.4600218,127.0420378,24시간 이용가능,기후에너지환경부,06,2
ME178009,02,서울만남(부산) 휴게소,서울특별시 서초구 양재대로12길 73-71 (원지동),,37.4600218,127.0420378,24시간 이용가능,기후에너지환경부,06,2
ME181102,01,스위스그랜드호텔(구 그랜드힐튼호텔),서울특별시 서대문구 연희로 353,,37.589864395,126.93449341,24시간 이용가능,기후에너지환경부,06,3
ME181150,12,우리은행본점,서울특별시 중구 소공로 51번지,,37.559534,126.981817,24시간 이용가능,기후에너지환경부,06,2
ME181150,13,우리은행본점,서울특별시 중구 소공로 51번지,,37.559534,126.981817,24시간 이용가능,기후에너지환경부,06,2
ME183001,01,마곡레포츠센터 ,"서울특별시 강서구 양천로 251, 입구 우측",,37.5728411,126.8323738,24시간 이용가능,기후에너지환경부,06,2
ME183002,01,창2동 제4공영주차장,서울특별시 도봉구 창2동 582-22,,37.6413031,127.0364035,24시간 이용가능,기후에너지환경부,06,3
ME183003,01,창3동 제1공영주차장,"서울특별시 도봉구 창3동 504-21, 좌측 안쪽",,37.6332433,127.0411144,24시간 이용가능,기후에너지환경부,06,2
ME183004,01,창천공영주차장,"서울특별시 마포구 노고산동 33-1, B3 28",,37.55493,126.9389738,24시간 이용가능,기후에너지환경부,06,2
ME183006,01,난향동 주민센터,서울특별시 관악구 난곡로 67,,37.4616153,126.9189711,24시간 이용가능,기후에너지환경부,06,2
ME183008,01,쌍문3동 제2공영주차장,"서울특별시 도봉구 쌍문3동 315-62, 지하 1층 안쪽",,37.6492416,127.0293271,24시간 이용가능,기후에너지환경부,06,2
ME183009,01,스탠포드호텔코리아,"서울특별시 마포구 상암동 월드컵북로 58길 15, 지하4층 18",,37.5823581,126.886648,24시간 이용가능,기후에너지환경부,06,2
ME183103,01,국회도서관,"서울특별시 영등포구 의사당대로1, 국회도서관 앞",,37.530302464,126.91764312,24시간 이용가능,기후에너지환경부,06,2
ME183103,02,국회도서관,"서울특별시 영등포구 의사당대로1, 국회도서관 앞",,37.530302464,126.91764312,24시간 이용가능,기후에너지환경부,04,2
ME183103,52,국회도서관,"서울특별시 영등포구 의사당대로1, 국회도서관 앞",,37.530302464,126.91764312,24시간 이용가능,기후에너지환경부,04,2
ME183219,01,국회의원회관,"서울특별시 영등포구 의사당대로1, 국회의원회관 주차장 우측",,37.528194,126.914480,09:00 ~ 18:00,기후에너지환경부,06,2
ME183219,02,국회의원회관,"서울특별시 영등포구 의사당대로1, 국회의원회관 주차장 우측",,37.528194,126.914480,09:00 ~ 18:00,기후에너지환경부,04,2
ME183219,52,국회의원회관,"서울특별시 영등포구 의사당대로1, 국회의원회관 주차장 우측",,37.528194,126.914480,09:00 ~ 18:00,기후에너지환경부,04,2
ME184075,01,노원에코센터,서울특별시 노원구 덕릉로 450,,37.644779,127.059382,24시간 이용가능,기후에너지환경부,06,2
ME184076,01,영등포구청 환승공영주차장,서울특별시 영등포구 양산로111,", 왼쪽 끝편 주차장",37.524606274,126.89537473,06:00~21:00,기후에너지환경부,06,2
ME18B159,01,성애병원,서울특별시 영등포구 여의대방로 53길 22,,37.5113854,126.9227830,24시간 이용가능,기후에너지환경부,06,2
ME18B163,01,개봉1동 주민센터 옆 공영주차장,서울특별시 구로구 개봉동 134-8,,37.499851322,126.85136664,24시간 이용가능,기후에너지환경부,06,3
ME18B164,01,하늘공원주차장,서울특별시 구로구 벚꽃로 370 ,,37.48739,126.88051,24시간 이용가능,기후에너지환경부,06,2
ME18B165,01,쌍문2동 제3공영주차장,서울특별시 도봉구 쌍문2동 710-4,,37.66116,127.03864,24시간 이용가능,기후에너지환경부,06,3
ME18B166,01,서초구청,서울특별시 서초구 남부순환로 2584,,37.483278518,127.03235055,23시간 이용(09:00~08:00),기후에너지환경부,06,2
ME18B168,01,북한산국립공원주차장,서울특별시 은평구 진관동 278,,37.65584,126.94885,24시간 이용가능,기후에너지환경부,06,2
